,tmax,tavg,precipitation
315,58,42.5,0.02
316,35,29.5,0
317,45,37.0,0
318,52,45.0,0
319,43,38.0,0
320,44,37.5,0
321,43,40.5,0.43
322,49,45.0,0.2
323,49,45.0,0
324,53,46.0,0
325,54,46.5,0.07
326,46,41.0,0.02
327,48,44.0,0.72
328,53,47.0,0
329,60,52.0,0
330,58,52.0,0.02
331,55,47.0,0
332,42,37.0,0
333,44,38.0,0
334,41,35.5,0.56
335,39,35.5,0.4
336,38,35.0,T
337,41,37.5,T
338,43,40.5,0
339,50,43.0,T
340,39,35.5,0
341,44,36.0,0
342,56,48.5,1.8
343,58,49.0,0.17
344,41,36.5,0.29
345,36,31.5,0
346,47,39.5,1.01
347,56,50.5,1.13
348,50,44.0,0
349,38,36.0,0.08
350,37,35.0,0.9
351,37,30.0,0.04
352,27,22.5,T
353,34,29.0,0
354,35,29.5,0
355,47,38.5,0
356,57,47.5,0
357,48,42.0,0
358,43,38.5,0
359,46,41.0,0
360,54,48.0,T
361,50,47.0,0
362,44,41.0,0.29
363,43,40.5,0.49
364,46,42.0,0.01
